Delta,1263,6:00,11:30,$282
United,4676,6:00,10:45,$321
USAir,1269,6:15,10:57,$210
United,2865,6:15,10:57,$406
USAir,1927,7:00,12:53,$302
United,2645,7:00,12:53,$445
Delta,4268,7:15,12:46,$307
JetBlue,475,7:30,10:42,$340
USAir,1053,8:00,13:02,$300
United,2729,8:00,13:02,$406
Delta,3824,9:00,14:45,$282
USAir,3973,9:25,14:00,$302
United,5949,9:30,14:43,$264
United,4103,11:00,16:16,$321
USAir,3267,11:30,16:13,$302
USAir,3267,11:30,18:15,$367
USAir,3139,11:51,16:29,$332
Delta,3601,12:00,17:29,$307
Delta,5054,12:30,20:22,$227
USAir,2689,12:55,18:09,$300
USAir,3609,13:25,18:28,$302
United,6001,14:12,20:50,$217
USAir,3863,15:35,20:54,$302
Delta,5138,16:20,22:10,$212
United,2869,16:55,21:33,$406
USAir,1865,16:56,21:34,$300
JetBlue,1075,17:00,20:06,$280
USAir,3826,17:45,23:19,$302
USAir,3289,18:55,23:41,$300
